provider__code,provider__legal_name,provider__operating_name,accreditation__number
1S2,Achievement Through Collaboration Trust,Kingsbridge EIP SCITT,5616
2A2,Ambition Teacher Training,Ambition Teacher Training,5722
1AA,Anglia Ruskin University,Anglia Ruskin University,1570
1YH,Archway Learning Trust,Bluecoat SCITT Alliance Nottingham,5646
1CS,Ark Schools,Ark Teacher Training,5635
B20,Bath Spa University,Bath Spa University,1502
251,Beacon Multi-Academy Trust,NELTA,5659
6B1,Best Practice Network Ltd,Best Practice Network,5733
B25,Birmingham City University,Birmingham City University,1541
N36,Birmingham Newman University,Birmingham Newman University,1523
2BA,Bishop Bewick Catholic Education Trust,Sacred Heart Newcastle SCITT,5705
1K2,Bishop Challoner Catholic College,Bishop Challoner Training School,5723
B60,Bradford College,Bradford College,5564
W14,Brandlehow Primary School,Wandsworth Primary Schools' Consortium,5546
M82,Bridge Academy Trust,Mid Essex Initial Teacher Training,5524
G65,Bright Futures Educational Trust,Bright Futures SCITT,5649
B84,Brunel University London,Brunel University London,1504
2AV,Cabot Learning Federation,Five Counties SCITT,5695
C10,Canterbury Christ Church University,Canterbury Christ Church University,1505
1A3,Changing Lives Learning Trust,One Cumbria,5732
C59,Chiltern Learning Trust,Chiltern Training Group,5508
2F1,Chorus Education Trust,National Specialist SCITTs,5716
L59,"Christ Church Primary School, Hampstead",Teaching London: LDBS SCITT,5523
N43,City College Norwich,Norfolk Teacher Training Centre,5627
S17,Colegrave Primary School,SCITT in East London Schools (SCITTELS),5535
C85,Coventry University,National Institute of Teaching and Education,1585
1DU,Delta Academies Trust,Exchange Teacher Training,5724
28E,Dr Challoner's Grammar School,Astra SCITT,5689
3C6,East Anglian Schools Trust,EAST SCITT,5720
E31,East Midlands Education Trust,East Midlands Teacher Training Partnership,5614
E42,Edge Hill University,Edge Hill University,1510
E65,Education Management Direct Limited,Educate Group Initial Teacher Training,5587
3S3,Education South West,SWIFT Teacher Training,5735
2BB,Epping Forest Schools Partnership Trust,West Essex SCITT,5707
E69,e-Qualitas Professional Services,e-Qualitas,5585
T25,Essex and Thames Education,Essex and Thames SCITT,5543
2EY,Exceed Academies Trust,Exceed SCITT,5714
2F3,Farnborough College of Technology,University Centre Farnborough,5725
T11,Four Cs MAT,Teach East SCITT,5631
P58,Future Academies,Future Teacher Training,5633
G56,"Goldsmiths, University of London","Goldsmiths, University of London",1511
1N1,GORSE Academies Trust,GORSE SCITT,5658
1Z8,Great Academies Education Trust,Pioneers Partnership SCITT,5678
2AT,Great Heights Trust,AA Teamworks West Yorkshire SCITT,5697
25M,Harrison Primary School,Fareham and Gosport Primary SCITT,5681
F82,Hazelwood Schools,Forest Independent Primary Collegiate,5517
3Y3,HISP Multi Academy Trust,Inspiring Future Teachers,5738
25Q,Holmes Chapel Comprehensive School,Cheshire East SCITT,5680
P85,Holy Family Catholic Primary School,Primary Catholic Partnership SCITT,5533
B91,Impact MAT,Bromley Schools' Collegiate,5507
24S,Inspiring Futures Partnership Trust,Chepping View Primary Academy SCITT,5664
3A1,Inspiring Leaders Ltd,Inspiring Leaders - Teacher Training,5642
K50,King Edward VI Academy Trust Birmingham,King Edward's Consortium,5591
K60,King's College London,King's College London,1515
K84,Kingston University Higher Education Corporation,Kingston University,1516
L27,Leeds Beckett University,Leeds Beckett University,1517
L24,Leeds Trinity University,Leeds Trinity University,1532
K30,Leigh Academies Trust,Kent and Medway Training - KMT,5521
B38,Lincoln Bishop University,Lincoln Bishop University,1503
L46,Liverpool Hope University,Liverpool Hope University,1518
L51,Liverpool John Moores University,Liverpool John Moores University,1519
L68,London Metropolitan University,London Metropolitan University,1520
28T,London School of Jewish Studies,London School of Jewish Studies (LSJS),5501
L79,Loughborough University,Loughborough University,1521
25F,Lydiate Learning Trust,Associated Merseyside Partnership SCITT,5670
M40,Manchester Metropolitan University,Manchester Metropolitan University,1522
2AX,Matrix Academy Trust,Barr Beacon SCITT,5694
C03,Meridian Trust,The Cambridge Partnership,5602
M80,Middlesex University,Middlesex University,1571
5V5,Mulberry Schools Trust,Mulberry College of Teaching,5727
L06,North East Learning Trust,North East SCITT,5609
N66,North Lincolnshire Council,North Lincolnshire SCITT Partnership,5590
N42,Northampton School for Boys,Northampton Teacher Training Partnership,5527
N91,Nottingham Trent University,Nottingham Trent University,1524
254,Nova Education Trust,Nottinghamshire Torch SCITT,5662
T92,Oakthorpe Primary School,2Schools Consortium,5606
O66,Oxford Brookes University,Oxford Brookes University,1526
2B1,Partnership Learning,Partnership London SCITT (PLS),5699
N73,Pele Trust,North Tyneside SCITT,5567
2AS,Prestolee Multi Academy Trust,Prestolee SCITT,5685
1QU,REAch2 Academy Trust,REAch Teach Primary Partnership,5729
2B9,Red Kite Learning Trust,Red Kite Teacher Training,5706
24T,River Learning Trust,OTT SCITT,5669
R48,Roehampton University,University of Roehampton,1563
B71,Royal Latin School,Buckingham Partnership,5622
2N2,School Led Development Trust,National Institute of Teaching,5728
S95,Severn Academies Educational Trust,Stourport SCITT,5634
24J,Shaw Education Trust,Keele and North Staffordshire Teacher Education,5653
S21,Sheffield Hallam University,Sheffield Hallam University,1527
2A7,Sidney Stringer Multi Academy Trust,The Coventry SCITT,5691
S31,Somerset Council,Somerset SCITT,5538
13S,South Farnham Educational Trust,Surrey South Farnham SCITT,5579
2EX,South Pennine Academies,Huddersfield Horizon SCITT,5713
S97,St Clare Catholic Multi Academy Trust,The Sheffield SCITT,5647
259,St Edmund�s Nursery School,Bradford Birth to 19 SCITT,5672
